Tokens,Entities
ⲛⲓⲙ ⲅⲁⲣ ⲛ ⲣⲱⲙⲉ ⲡ ⲉⲧ ⲥⲟⲟⲩⲛ ⲛ ⲛⲁ ⲡ ⲣⲱⲙⲉ ⲉⲓⲙⲏⲧⲓ ⲡⲉ ⲡⲛⲉⲩⲙⲁ ⲙ ⲡ ⲣⲱⲙⲉ ⲉⲧ ⲛϩⲏⲧ ϥ . ⲧⲁⲓ ⲟⲛ ⲧⲉ ⲧ ϩⲉ ⲛ ⲛⲁ ⲡ ⲛⲟⲩⲧⲉ ⲙⲡⲉ ⲗⲁⲁⲩ ⲥⲟⲩⲱⲛ ⲟⲩ ⲛⲥⲁ ⲡⲉ ⲡⲛⲉⲩⲙⲁ ⲙ ⲡ ⲛⲟⲩⲧⲉ .,person O O person O O O O abstract person person O abstract O O person person O O abstract O abstract O O abstract O O abstract person person O abstract O O O abstract O O person person O
ⲁⲛⲟⲛ ⲇⲉ ⲛⲧ ⲁ ⲛ ϫⲓ ⲁⲛ ⲙ ⲡⲉ ⲡⲛⲉⲩⲙⲁ ⲙ ⲡⲉⲓ ⲕⲟⲥⲙⲟⲥ . ⲁⲗⲗⲁ ⲡⲉ ⲡⲛⲉⲩⲙⲁ ⲡ ⲉⲃⲟⲗ ⲙ ⲡ ⲛⲟⲩⲧⲉ . ϫⲉⲕⲁⲁⲥ ⲉⲛⲉ ⲉⲓⲙⲉ ⲉ ⲛ ⲉⲛⲧ ⲁ ⲡ ⲛⲟⲩⲧⲉ ⲭⲁⲣⲓⲍⲉ ⲙⲙⲟ ⲟⲩ ⲛⲁ ⲛ .,O O O O O O O O abstract O O place place O O abstract O O O O person person O O O O O abstract O O person person O O abstract O O O
ⲉⲧⲉ ⲛⲁⲓ ⲛ ⲉⲧ ⲛ ϣⲁϫⲉ ⲛϩⲏⲧ ⲟⲩ ϩⲛ ϩⲉⲛ ϣⲁϫⲉ ⲁⲛ ⲛ ϯⲥⲃⲱ ⲛ ⲥⲟⲫⲓⲁ ⲛ ⲣⲱⲙⲉ ⲁⲗⲗⲁ ϩⲛ ϩⲉⲛ ϯⲥⲃⲱ ⲙ ⲡⲛⲉⲩⲙⲁ ⲉ ⲛ ϣⲱⲛⲃ ⲛ ϩⲉⲛ ⲡⲛⲉⲩⲙⲁⲧⲓⲕⲟⲛ ⲉ ϩⲉⲛ ⲡⲛⲉⲩⲙⲁⲧⲓⲕⲟⲥ .,O abstract O O O O O O O abstract abstract O O abstract O abstract O abstract O O abstract O O abstract O abstract O O abstract abstract O person person O
ⲟⲩ ⲯⲩⲭⲓⲕⲟⲥ ⲇⲉ ⲛ ⲣⲱⲙⲉ ⲙⲉ ϥ ϣⲱⲡ ⲉⲣⲟ ϥ ⲛ ⲛⲁ ⲡⲉ ⲡⲛⲉⲩⲙⲁ ⲙ ⲡ ⲛⲟⲩⲧⲉ . ⲟⲩ ⲙⲛⲧⲥⲟϭ ⲅⲁⲣ ⲛⲁ ϥ ⲧⲉ . ⲁⲩⲱ ⲙⲛ ϭⲟⲙ ⲙⲙⲟ ϥ ⲉ ⲉⲓⲙⲉ ϫⲉ ⲥⲉ ⲁⲛⲁⲕⲣⲓⲛⲉ ⲙⲙⲟ ϥ ⲡⲛⲉⲩⲙⲁⲧⲓⲕⲱⲥ .,person O O O person O O O O O O abstract abstract O O person person O abstract abstract O O O O O O O abstract O O O O O O O O O O O
ⲡⲉ ⲡⲛⲉⲩⲙⲁⲧⲓⲕⲟⲥ ⲇⲉ ϣⲁ ϥ ⲁⲛⲁⲕⲣⲓⲛⲉ ⲙⲉⲛ ⲛ ⲟⲩⲟⲛ ⲛⲓⲙ . ⲛⲧⲟϥ ⲇⲉ ⲙⲉⲣⲉ ⲗⲁⲁⲩ ⲁⲛⲁⲕⲣⲓⲛⲉ ⲙⲙⲟ ϥ .,person person O O O O O O abstract abstract O O O O person O O O O
ⲛⲓⲙ ⲅⲁⲣ ⲡ ⲉⲛⲧ ⲁ ϥ ⲥⲟⲩⲛ ⲡ ϩⲏⲧ ⲙ ⲡ ϫⲟⲉⲓⲥ ⲡⲁⲓ ⲉⲧ ⲛⲁ ⲧⲥⲉⲃⲉ ⲉⲓⲁⲧ ϥ ⲉⲃⲟⲗ . ⲁⲛⲟⲛ ⲇⲉ ⲟⲩⲛⲧⲁ ⲛ ⲙⲙⲁⲩ ⲙ ⲡ ⲙⲉⲉⲩⲉ ⲙ ⲡⲉ ⲭⲣⲓⲥⲧⲟⲥ .,O O O O O O O abstract O O person person person O O O object object person O O O O O O O abstract O O person person O
ⲧⲁⲓ ⲧⲉ ⲧ ϩⲉ ⲙⲁⲣⲉ ⲛ ⲣⲱⲙⲉ ⲟⲡ ⲛ ϩⲱⲥ ϩⲩⲡⲏⲣⲉⲧⲏⲥ ⲙ ⲡⲉ ⲭⲣⲓⲥⲧⲟⲥ . ⲁⲩⲱ ⲛ ⲟⲓⲕⲟⲛⲟⲙⲟⲥ ⲛ ⲙ ⲙⲩⲥⲧⲏⲣⲓⲟⲛ ⲙ ⲡ ⲛⲟⲩⲧⲉ .,abstract O abstract abstract O person person O O O person O person person O O person O O abstract O O person person O
ⲉ ⲩ ϣⲓⲛⲉ ϭⲉ ⲙ ⲡⲉⲓ ⲙⲁ ϩⲛ ⲛ ⲟⲓⲕⲟⲛⲟⲙⲟⲥ ϫⲉ ⲉⲩⲉ ϩⲉ ⲉ ⲩ ⲡⲓⲥⲧⲟⲥ .,O O O O O place place O person person O O O O person person O
ⲁⲛⲟⲕ ⲇⲉ ⲟⲩ ⲉⲗⲁⲭⲓⲥⲧⲟⲛ ⲛⲁ ⲓ ⲡⲉ ⲉ ⲧⲣⲉ ⲩ ⲁⲛⲁⲕⲣⲓⲛⲉ ⲙⲙⲟ ⲓ ϩⲓⲧⲛ ⲧⲏⲩⲧⲛ . ⲏ ϩⲓⲧⲛ ⲟⲩ ϩⲟⲟⲩ ⲛ ⲣⲱⲙⲉ . ⲁⲗⲗⲁ ⲟⲩⲇⲉ ⲁⲛⲟⲕ ⲛ ϯ ⲁⲛⲁⲕⲣⲓⲛⲉ ⲙⲙⲟ ⲓ ⲁⲛ .,O O abstract abstract O O O O O O O O O O O O O O abstract O O person O O O O O O O O O O O
ⲛ ϯ ⲥⲟⲟⲩⲛ ⲅⲁⲣ ⲁⲛ ⲛ ⲗⲁⲁⲩ ⲉ ⲁ ⲓ ⲁⲁ ϥ . ⲁⲗⲗⲁ ⲛ ⲉ ⲓ ⲧⲙⲁⲓⲏⲩ ⲁⲛ ϩⲙ ⲡⲁⲓ . ⲡ ⲉⲧ ⲁⲛⲁⲕⲣⲓⲛⲉ ⲇⲉ ⲙⲙⲟ ⲓ ⲡⲉ ⲡ ϫⲟⲉⲓⲥ .,O O O O O O abstract O O O O abstract O O O O O O O O abstract O person O person O O O O person person O
ϩⲱⲥⲧⲉ ⲙⲡⲣ ⲕⲣⲓⲛⲉ ⲛ ⲗⲁⲁⲩ ϩⲁ ⲧ ϩⲏ ⲙ ⲡⲉ ⲩⲟⲉⲓϣ ϣⲁⲛⲧⲉ ⲡ ϫⲟⲉⲓⲥ ⲉⲓ . ⲡⲁⲓ ⲉⲧ ⲛⲁ ⲣⲟⲩⲟⲉⲓⲛ ⲉ ⲛ ⲉⲧ ϩⲏⲡ ϩⲙ ⲡ ⲕⲁⲕⲉ ⲁⲩⲱ ⲛ ϥ ⲟⲩⲱⲛϩ ⲉⲃⲟⲗ ⲛ ⲛ ϣⲟϫⲛⲉ ⲛ ⲛ ϩⲏⲧ . ⲧⲟⲧⲉ ⲡ ⲧⲁⲉⲓⲟ ⲙ ⲡ ⲟⲩⲁ ⲡ ⲟⲩⲁ ⲛⲁ ϣⲱⲡⲉ ⲉⲃⲟⲗ ϩⲓⲧⲙ ⲡ ⲛⲟⲩⲧⲉ .,O O O O abstract O abstract O O time time O person person O O person O O O O abstract O O O abstract abstract O O O O O O abstract O O abstract abstract O O abstract O O person O O person O O O O person person O
ⲛⲁⲓ ⲇⲉ ⲛⲁ ⲥⲛⲏⲩ ⲛⲧ ⲁ ⲓ ϫⲓⲧ ⲟⲩ ⲛ ⲥⲙⲟⲧ ⲉϩⲣⲁⲓ ⲉϫⲱ ⲓ ⲙⲛ ⲁⲡⲟⲗⲗⲱ ⲉⲧⲃⲉ ⲧⲏⲩⲧⲛ . ϫⲉⲕⲁⲁⲥ ⲉⲧⲉⲧⲛⲉ ⲥⲃⲟ ⲛϩⲏⲧ ⲛ ⲉ ⲧⲙ ⲣϩⲟⲩⲟ ⲉ ⲛ ⲉⲧ ⲥⲏϩ ϫⲉ ⲛⲛⲉ ⲟⲩⲁ ϣⲟⲩϣⲟⲩ ⲙⲙⲟ ϥ ⲉϫⲛ ⲟⲩⲁ ϩⲁ ⲟⲩⲁ .,abstract O person person O O O O O O abstract O O O O person-Apollos O abstract O O O O O O O O O O abstract O abstract O O person O O O O person O person O
ⲛⲓⲙ ⲅⲁⲣ ⲡ ⲉⲧ ⲇⲓⲁⲕⲣⲓⲛⲉ ⲙⲙⲟ ⲕ ⲟⲩⲇⲉ ⲡ ⲉⲧ ⲛⲧⲟⲟⲧ ⲕ ⲉ ⲙⲡ ⲕ ϫⲓⲧ ϥ ⲉϣϫⲉ ⲁ ⲕ ⲣ ⲡ ⲕⲉ ϫⲓ ⲁϩⲣⲟ ⲕ ⲕ ϣⲟⲩϣⲟⲩ ⲙⲙⲟ ⲕ ϩⲱⲥ ⲉ ⲙⲡ ⲕ ϫⲓ .,O O person O O O person O abstract O O abstract O O O O O O O O O event O event O O O O O O O O O O O O
ⲏⲇⲏ ⲧⲉⲧⲛ ⲥⲏⲩ ⲏⲇⲏ ⲁ ⲧⲉⲧⲛ ⲣⲣⲙⲙⲁⲟ ⲁϫⲛⲧ ⲛ ⲁ ⲧⲉⲧⲛ ⲣⲣⲣⲟ ⲛⲁⲛⲟⲩ ⲥ ⲇⲉ ⲉϣϫⲉ ⲁ ⲧⲉⲧⲛ ⲣⲣⲣⲟ ϫⲉⲕⲁⲁⲥ ⲉⲛⲉ ⲣⲣⲣⲟ ϩⲱⲱ ⲛ ⲛⲙⲙⲏ ⲧⲛ .,O O O O O O O O O O O O O O O O O O O O O O O O O O O
ⲁⲣⲏⲩ ⲅⲁⲣ ⲛⲧ ⲁ ⲡ ⲛⲟⲩⲧⲉ ⲕⲁⲁ ⲛ ⲛ ⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲛ ϩⲁⲉ ⲛ ⲧ ϩⲉ ⲛ ⲛⲉⲓ ⲉⲡⲓⲑⲁⲛⲁⲧⲏⲥ . ϫⲉ ⲁ ⲛ ϣⲱⲡⲉ ⲛ ⲑⲉⲁⲧⲣⲟⲛ ⲙ ⲡ ⲕⲟⲥⲙⲟⲥ ⲁⲩⲱ ⲛ ⲛ ⲁⲅⲅⲉⲗⲟⲥ ⲙⲛ ⲛ ⲣⲱⲙⲉ .,O O O O person person O O person person O time O O O O abstract abstract O O O O O O abstract O place place O O person person O person person O
ⲁⲛⲟⲛ ⲁ ⲛ ⲣⲥⲟϭ ⲉⲧⲃⲉ ⲡⲉ ⲭⲣⲓⲥⲧⲟⲥ ⲛⲧⲱⲧⲛ ⲇⲉ ⲛⲧⲉⲧⲛ ϩⲉⲛ ⲥⲁⲃⲉ ϩⲙ ⲡⲉ ⲭⲣⲓⲥⲧⲟⲥ ⲁⲛⲟⲛ ⲧⲛ ϭⲟⲟⲃ ⲛⲧⲱⲧⲛ ⲇⲉ ⲧⲉⲧⲛ ϫⲟⲟⲣ ⲛⲧⲱⲧⲛ ⲧⲉⲧⲛ ⲧⲁⲉⲓⲏⲩ ⲁⲛⲟⲛ ⲇⲉ ⲧⲛ ⲥⲏϣ,O O O O O person person O O O person O O person person O O O O O O O O O O O O O O
ϣⲁϩⲣⲁⲓ ⲉ ⲧⲉⲓ ⲟⲩⲛⲟⲩ ⲧⲛ ϩⲕⲁⲉⲓⲧ ⲧⲛ ⲟⲃⲉ ⲧⲛ ⲕⲏⲕⲁϩⲏⲩ ⲥⲉ ϯⲕⲗⲯ ⲉϫⲱ ⲛ ⲧⲛ ϣⲧⲣⲧⲱⲣ .,O O time time O O O O O O O O O O O O O
ⲧⲛ ϩⲟⲥⲉ ⲉ ⲛ ⲣϩⲱⲃ ϩⲛ ⲛⲉⲛ ϭⲓϫ ⲙⲙⲓⲛⲙⲙⲟ ⲛ ⲉ ⲩ ⲥⲁϩⲟⲩ ⲙⲙⲟ ⲛ ⲧⲛ ⲥⲙⲟⲩ ⲉⲣⲟ ⲟⲩ ⲉ ⲩ ⲡⲏⲧ ⲛⲥⲱ ⲛ ⲧⲛ ⲁⲛⲉⲭⲉ ⲙⲙⲟ ⲟⲩ .,O O O O O O object object O O O O O O O O O O O O O O O O O O O O O
ⲉ ⲩ ϫⲓⲟⲩⲁ ⲉⲣⲟ ⲛ . ⲧⲛ ⲡⲁⲣⲁⲕⲁⲗⲉⲓ ⲙⲙⲟ ⲟⲩ ⲛ ⲧ ϩⲉ ⲛ ⲛⲉⲓ ⲡⲉⲣⲓⲕⲁⲑⲁⲣⲙⲁ ⲙ ⲡ ⲕⲟⲥⲙⲟⲥ ⲁ ⲛ ⲣϣϥⲉ ⲛ ⲟⲩⲟⲛ ⲛⲓⲙ ϣⲁϩⲣⲁⲓ ⲉ ⲧⲉⲓ ⲟⲩⲛⲟⲩ .,O O O O O O O O O O O O O O abstract O O place place O O O O person person O O time time O
ⲛ ⲛⲉ ⲉ ⲓ ϯϣⲓⲡⲉ ⲛⲏ ⲧⲛ ⲁⲛ ⲉ ⲓ ⲥϩⲁⲓ ⲛⲏ ⲧⲛ ⲛ ⲛⲁⲓ . ⲁⲗⲗⲁ ⲉ ⲓ ϯⲥⲃⲱ ⲛⲏ ⲧⲛ ϩⲱⲥ ϣⲏⲣⲉ ⲙ ⲙⲉⲣⲓⲧ .,O O O O O O O O O O O O O O abstract O O O O O O O O person O person O
ⲕⲁⲛ ⲉϣⲱⲡⲉ ⲟⲩⲛⲧⲏ ⲧⲛ ⲙⲙⲁⲩ ⲛ ⲟⲩ ⲧⲃⲁ ⲙ ⲡⲁⲓⲇⲁⲅⲱⲅⲟⲥ ϩⲙ ⲡⲉ ⲭⲣⲓⲥⲧⲟⲥ . ⲁⲗⲗⲁ ⲛ ϩⲁϩ ⲛ ⲉⲓⲱⲧ ⲁⲛ . ⲁⲛⲟⲕ ⲅⲁⲣ ⲁ ⲓ ϫⲡⲉ ⲧⲏⲩⲧⲛ ϩⲙ ⲡⲉ ⲭⲣⲓⲥⲧⲟⲥ ⲓⲏⲥⲟⲩⲥ ϩⲓⲧⲙ ⲡ ⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ .,O O O O O O person O O O O person person O O O person O person O O O O O O O O O person-Jesus O person-Jesus O abstract abstract O
ϯ ⲡⲁⲣⲁⲕⲁⲗⲉⲓ ϭⲉ ⲙⲙⲱ ⲧⲛ ⲧⲛⲧⲛ ⲧⲏⲩⲧⲛ ⲉⲣⲟ ⲓ .,O O O O O O O O O O
ⲉⲧⲃⲉ ⲡⲁⲓ ⲁ ⲓ ⲧⲛⲛⲉⲩ ⲧⲓⲙⲟⲑⲉⲟⲥ ⲛⲏ ⲧⲛ ⲉⲧⲉ ⲡⲁⲓ ⲡⲉ ⲡⲁ ϣⲏⲣⲉ ⲙ ⲙⲉⲣⲓⲧ ⲁⲩⲱ ⲙ ⲡⲓⲥⲧⲟⲥ ϩⲙ ⲡ ϫⲟⲉⲓⲥ ⲡⲁⲓ ⲉⲧ ⲛⲁ ⲧⲣⲉ ⲧⲛ ⲣ ⲡ ⲙⲉⲉⲩⲉ ⲛ ⲛⲁ ϩⲓⲟⲟⲩⲉ ⲉⲧ ϩⲙ ⲡⲉ ⲭⲣⲓⲥⲧⲟⲥ ⲛ ⲧ ϩⲉ ⲉ ϯ ϯⲥⲃⲱ ⲙⲙⲟ ⲥ ϩⲛ ⲛ ⲉⲕⲕⲗⲏⲥⲓⲁ ⲧⲏⲣ ⲟⲩ ϩⲙ ⲙⲁ ⲛⲓⲙ .,O abstract O O O person-Saint_Timothy O O O O O O O O O O O O O person person O O O O O O O O O place O O O person person O O O O O O O O O organization O O organization O place place O
ϩⲱⲥ ⲉ ⲛ ϯ ⲛⲏⲩ ⲇⲉ ⲁⲛ ϣⲁⲣⲱ ⲧⲛ ⲁ ϩⲟⲓⲛⲉ ϫⲓⲥⲉ ⲛ ϩⲏⲧ,O O O O O O O O O O person O O O
ϯ ⲛⲏⲩ ⲇⲉ ϣⲁⲣⲱ ⲧⲛ ϩⲛ ⲟⲩ ϭⲉⲡⲏ ⲉⲣϣⲁⲛ ⲡ ϫⲟⲉⲓⲥ ⲣ ϩⲛⲁ ϥ . ⲛ ⲧⲁ ⲉⲓⲙⲉ ⲁⲛ ⲉ ⲡ ϣⲁϫⲉ ⲛ ⲛ ⲉⲧ ϫⲟⲥⲉ ⲛ ϩⲏⲧ . ⲁⲗⲗⲁ ⲧⲉⲩ ϭⲟⲙ .,O O O O O O O O O person person O O O O O O O O O abstract O O person O O O person O O abstract abstract O
ⲧ ⲙⲛⲧⲣⲣⲟ ⲅⲁⲣ ⲙ ⲡ ⲛⲟⲩⲧⲉ ⲛ ⲉ ⲥ ϩⲛ ϣⲁϫⲉ ⲁⲛ . ⲁⲗⲗⲁ ϩⲛ ⲟⲩ ϭⲟⲙ .,abstract O O O person person O O O O abstract O O O O abstract abstract O
ⲟⲩ ⲡ ⲉⲧⲉ ⲧⲛ ⲟⲩⲁϣ ϥ . ⲧⲁ ⲉⲓ ϣⲁⲣⲱ ⲧⲛ ϩⲛ ⲟⲩ ϭⲉⲣⲱⲃ ϫⲛ ϩⲛ ⲟⲩ ⲁⲅⲁⲡⲏ ⲙⲛ ⲟⲩ ⲡⲛⲉⲩⲙⲁ ⲙ ⲙⲛⲧⲣⲙⲣⲁϣ .,O abstract O O O abstract O O O O O O object object O O abstract abstract O abstract O O abstract O
ⲛⲉ ϩⲟⲟⲩ ⲉⲧ ⲙⲙⲁⲩ ⲛⲉ ⲩⲛ ⲟⲩ ⲛⲟϭ ⲟⲛ ⲙ ⲙⲏⲏϣⲉ ⲛⲙⲙⲁ ϥ ⲁⲩⲱ ⲉ ⲙⲙⲛⲧ ⲟⲩ ⲡ ⲉⲧ ⲟⲩ ⲛⲁ ⲟⲩⲟⲙ ϥ ⲁ ϥ ⲙⲟⲩⲧⲉ ⲉ ⲛⲉϥ ⲙⲁⲑⲏⲧⲏⲥ ⲡⲉϫⲁ ϥ ⲛⲁ ⲩ,time O O time O O person O O O person O O O O O O object O O O O object O O O O person person O O O O
ϯ ϣⲛ ϩⲧⲏ ⲓ ⲉϫⲙ ⲡ ⲙⲏⲏϣⲉ ϫⲉ ⲏⲇⲏ ⲉⲓⲥ ϣⲟⲙⲛⲧ ⲛ ϩⲟⲟⲩ ⲥⲉ ⲡⲣⲟⲥⲕⲁⲣⲧⲉⲣⲉⲓ ⲉⲣⲟ ⲓ . ⲉ ⲙⲙⲛⲧ ⲟⲩ ⲡ ⲉⲧ ⲟⲩ ⲛⲁ ⲟⲩⲟⲙ ϥ,O O O O O person person O O O time O time O O O O O O O O object O O O O object
ⲉⲓϣⲁⲛ ⲕⲁⲁ ⲩ ⲉⲃⲟⲗ ⲉ ⲙⲡ ⲟⲩ ⲟⲩⲱⲙ ⲥⲉ ⲛⲁ ⲥⲱϣⲙ ϩⲛ ⲧⲉ ϩⲓⲏ ⲉ ⲩⲛ ϩⲟⲓⲛⲉ ⲛϩⲏⲧ ⲟⲩ ϣⲟⲟⲡ ϩⲙ ⲡ ⲟⲩⲉ .,O O O O O O O O O O O O place place O O person O person O O place place O
ⲉ ⲩ ⲟⲩⲱϣⲃ ⲇⲉ ⲛⲁ ϥ ⲛϭⲓ ⲛⲉϥ ⲙⲁⲑⲏⲧⲏⲥ ϫⲉ ⲛⲓⲙ ⲡ ⲉⲧ ⲛⲁ ϣ ⲧⲥⲓⲉ ⲛⲁⲓ ⲛ ⲟⲉⲓⲕ ⲙ ⲡⲉⲓ ⲙⲁ ϩⲛ ⲟⲩ ϫⲁⲓⲉ .,O O O O O O O person person O O O O O O O person O object O place place O place place O
ⲁ ϥ ϫⲛⲟⲩ ⲟⲩ ϫⲉ ⲟⲩⲛⲧⲏ ⲧⲛ ⲟⲩⲏⲣ ⲙⲙⲁⲩ ⲛ ⲟⲉⲓⲕ . ⲛⲧⲟⲟⲩ ⲇⲉ ⲡⲉϫⲁ ⲩ ϫⲉ ⲥⲁϣϥ .,O O O O O O O object O O object O O O O O O object O
